,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
2403,123,10,rastlanan,12.0,1.0,acl,rastla,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2404,123,11,bir,12.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2405,123,12,hastalığa,13.0,29.0,obj,hastalık,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing'}",,
2406,123,13,sahip,22.0,9.0,ccomp,sahip,ADJ,JJ,{'Number': 'Sing'},,
2407,123,14,olduğu,13.0,13.0,cop,ol,AUX,VN,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
2408,123,15,ve,21.0,8.0,cc,ve,CCONJ,CCONJ,,,
2409,123,16,hayatta,17.0,30.0,obl,hayat,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2410,123,17,kalabilmesi,21.0,2.0,advcl,kalabil,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Pot', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
2411,123,18,için,17.0,7.0,case,için,ADP,IN,,,
2412,123,19,ameliyat,20.0,27.0,nsubj,ameliyat,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,
2413,123,20,yapılması,21.0,14.0,csubj,yap,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Nom', 'Mood': 'Ind', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun', 'Voice': 'Pass'}",,
2414,123,21,gerektiğini,13.0,12.0,conj,gerek,NOUN,VN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
2415,123,22,öğrenmesiyle,32.0,2.0,advcl,öğrenmes,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Ins', 'Mood': 'Ind', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,{'SpaceAfter': 'No'}
2416,123,23,",",22.0,33.0,punct,",",PUNCT,",",,,
2417,123,24,rutin,26.0,4.0,amod,rutin,ADJ,JJ,{'Number': 'Sing'},,
2418,123,25,bir,26.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2419,123,26,ultrasonla,27.0,30.0,obl,ultrason,NOUN,NN,"{'Case': 'Ins', 'Number': 'Sing'}",,
2420,123,27,başlayan,28.0,1.0,acl,başla,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2421,123,28,süreç,32.0,27.0,nsubj,süreç,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,
2422,123,29,karmaşık,31.0,4.0,amod,karmaşık,ADJ,JJ,{'Number': 'Sing'},,
2423,123,30,bir,31.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2424,123,31,hal,32.0,29.0,obj,hal,NOUN,NN,{'Number': 'Sing'},,
2425,123,32,aldı,0.0,35.0,root,al,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
2426,123,33,.,32.0,33.0,punct,.,PUNCT,.,,,
2427,124,1,Sakrokoksigeal,2.0,11.0,compound,Sakrokoksigeal,NOUN,NN,{'Number': 'Sing'},,{'Proper': 'True'}
2428,124,2,teratom,12.0,27.0,nsubj,teratom,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,{'Proper': 'True'}
2429,124,3,doğumdan,5.0,26.0,nmod,doğum,NOUN,NN,"{'Case': 'Abl', 'Number': 'Sing'}",,{'ToDo': 'nmod'}
2430,124,4,önce,3.0,7.0,case,önce,ADP,IN,,,
2431,124,5,gelişen,12.0,1.0,acl,geliş,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2432,124,6,ve,10.0,8.0,cc,ve,CCONJ,CCONJ,,,
2433,124,7,bebeğin,9.0,26.0,nmod:poss,bebeğin,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
2434,124,8,kuyruk,9.0,26.0,nmod:poss,kuyruk,NOUN,NN,{'Number': 'Sing'},,
2435,124,9,kemiğinde,10.0,30.0,obl,kemiğ,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2436,124,10,büyüyen,5.0,12.0,conj,büyü,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2437,124,11,bir,12.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2439,124,12,tümör,0.0,35.0,root,_,NOUN,NN,{'Number': 'Sing'},,
2440,124,13,dür,12.0,13.0,cop,_,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
2441,124,14,.,12.0,33.0,punct,.,PUNCT,.,,,
2442,125,1,Bu,7.0,27.0,nsubj,bu,PRON,PRD,"{'Case': 'Nom', 'Definite': 'Def', 'Number': 'Sing', 'Polarity': 'Pos'}",,{'SpaceAfter': 'No'}
2443,125,2,",",1.0,33.0,punct,",",PUNCT,",",,,
2444,125,3,bebeklerde,4.0,30.0,obl,bebek,NOUN,NN,"{'Case': 'Loc', 'Number': 'Plur'}",,
2445,125,4,bulunan,7.0,1.0,acl,bul,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2446,125,5,en,6.0,3.0,advmod,en,ADV,RB,,,
2447,125,6,yaygın,7.0,4.0,amod,yaygın,ADJ,JJ,{'Number': 'Sing'},,
2449,125,7,tümör,0.0,35.0,root,_,NOUN,NN,{'Number': 'Sing'},,
2450,125,8,dür,7.0,13.0,cop,_,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
2451,125,9,ve,14.0,8.0,cc,ve,CCONJ,CCONJ,,,
2452,125,10,her,12.0,16.0,det,her,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
2453,125,11,35.000,12.0,28.0,nummod,35.000,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
2454,125,12,doğumdan,13.0,26.0,nmod:poss,doğ,NOUN,NN,"{'Case': 'Abl', 'Number': 'Sing'}",,
2455,125,13,birinde,14.0,30.0,obl,bir,PRON,PRI,"{'Case': 'Loc', 'Number': 'Sing', 'Polarity': 'Pos'}",,
2456,125,14,görülür,7.0,12.0,conj,gör,VERB,VB,"{'Aspect': 'Hab', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
2457,125,15,.,14.0,33.0,punct,.,PUNCT,.,,,
2458,126,1,84,2.0,28.0,nummod,84,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
2460,126,2,yaşında,0.0,35.0,root,yaşında,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2461,126,3,ydı,2.0,13.0,cop,i,AUX,AUX,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,
2462,126,4,.,2.0,33.0,punct,.,PUNCT,.,,,
2463,127,1,Onu,20.0,29.0,obj,o,PRON,PRP,"{'Case': 'Acc', 'Number': 'Sing', 'Polarity': 'Pos'}",,
2464,127,2,öyküleriyle,6.0,30.0,obl,öykü,NOUN,NN,"{'Case': 'Ins', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2465,127,3,edebi,4.0,4.0,amod,edebi,ADJ,JJ,{'Number': 'Sing'},,
2466,127,4,dünyada,6.0,30.0,obl,dünya,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2467,127,5,iz,6.0,29.0,obj,iz,NOUN,NN,{'Number': 'Sing'},,
2468,127,6,bırakan,18.0,1.0,acl,bırak,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2469,127,7,"""",9.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
2470,127,8,dikkat,9.0,29.0,obj,dikkat,NOUN,NN,{'Number': 'Sing'},,
2471,127,9,çekici,18.0,4.0,amod,çekici,ADJ,VJ,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2472,127,10,"""",9.0,33.0,punct,"""",PUNCT,'',,,
2473,127,11,ve,13.0,8.0,cc,ve,CCONJ,CCONJ,,,
2474,127,12,"""",13.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
2475,127,13,sevecen,9.0,12.0,conj,sevec,ADJ,JJ,{'Number': 'Sing'},,
2476,127,14,ve,15.0,8.0,cc,ve,CCONJ,CCONJ,,,
2477,127,15,muhteşem,9.0,12.0,conj,muhteşem,ADJ,JJ,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2478,127,16,"""",15.0,33.0,punct,"""",PUNCT,'',,,
2479,127,17,bir,18.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2480,127,18,kadın,20.0,2.0,advcl,kadın,NOUN,NN,{'Number': 'Sing'},,
2481,127,19,olarak,18.0,13.0,cop,ol,AUX,CRB,{'Polarity': 'Pos'},,
2482,127,20,tanımladı,0.0,35.0,root,tanımla,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
2483,127,21,.,20.0,33.0,punct,.,PUNCT,.,,,
2484,128,1,Leive,21.0,27.0,nsubj,Leive,PROPN,PROPN,{'Number': 'Sing'},,"{'Proper': 'True', 'SpaceAfter': 'No'}"
2485,128,2,",",1.0,33.0,punct,",",PUNCT,",",,,
2486,128,3,yakın,4.0,4.0,amod,yakın,ADJ,JJ,{'Number': 'Sing'},,
2487,128,4,zamanda,5.0,30.0,obl,zaman,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2488,128,5,yapılan,7.0,1.0,acl,yap,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2489,128,6,bir,7.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2490,128,7,röportajda,21.0,30.0,obl,röportaj,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
2491,128,8,",",7.0,33.0,punct,",",PUNCT,",",,,
2492,128,9,"""",18.0,33.0,punct,"""",PUNCT,``,,,{'SpaceAfter': 'No'}
2493,128,10,Bazıları,12.0,27.0,nsubj,bazı,PRON,PRI,"{'Case': 'Nom', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person[psor]': '3', 'Polarity': 'Pos'}",,
2494,128,11,bunu,12.0,29.0,obj,bu,PRON,PRD,"{'Case': 'Acc', 'Number': 'Sing', 'Polarity': 'Pos'}",,
2495,128,12,anlıyor,18.0,32.0,parataxis,anla,VERB,VB,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
2496,128,13,ve,18.0,8.0,cc,ve,CCONJ,CCONJ,,,
2497,128,14,Bono,18.0,27.0,nsubj,bono,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
2498,128,15,da,14.0,3.0,advmod:emph,da,ADV,RB,,,
2499,128,16,bu,17.0,16.0,det,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
2500,128,17,insanlardan,18.0,26.0,nmod:poss,insan,NOUN,NN,"{'Case': 'Abl', 'Number': 'Plur'}",,
2501,128,18,biri,21.0,9.0,ccomp,biri,PRON,PRI,"{'Number': 'Sing', 'Polarity': 'Pos'}",,{'SpaceAfter': 'No'}
2502,128,19,.,18.0,33.0,punct,_,PUNCT,.,,,{'SpaceAfter': 'No'}
2503,128,20,"""",18.0,33.0,punct,_,PUNCT,'',,,
2504,128,21,dedi,0.0,35.0,root,de,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
2505,128,22,.,21.0,33.0,punct,.,PUNCT,.,,,
2506,129,1,Henüz,5.0,3.0,advmod,henüz,ADV,RB,,,
2507,129,2,sadece,3.0,3.0,advmod,sadece,ADV,RB,,,
2508,129,3,20,4.0,28.0,nummod,20,NUM,CD,"{'Number': 'Sing', 'NumType': 'Ord'}",,
2509,129,4,yaşında,5.0,30.0,obl,yaş,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2510,129,5,olmasına,24.0,2.0,advcl,ol,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Dat', 'Mood': 'Ind', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
2511,129,6,rağmen,5.0,7.0,case,rağmen,ADP,IN,,,{'SpaceAfter': 'No'}
2512,129,7,",",5.0,33.0,punct,",",PUNCT,",",,,
2513,129,8,zorbalığın,9.0,26.0,nmod:poss,zorbalık,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing'}",,
2514,129,9,karşısında,10.0,30.0,obl,karşı,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2515,129,10,duran,24.0,1.0,acl,dur,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2516,129,11,ve,18.0,8.0,cc,ve,CCONJ,CCONJ,,,
2517,129,12,genç,13.0,4.0,amod,genç,ADJ,JJ,{'Number': 'Sing'},,
2518,129,13,kızların,17.0,27.0,nsubj,kız,NOUN,NN,"{'Case': 'Gen', 'Number': 'Plur'}",,
2519,129,14,kendi,16.0,4.0,amod,kendi,PRON,PRR,"{'Number': 'Sing', 'Reflex': 'Yes'}",,
2520,129,15,güzellik,16.0,26.0,nmod:poss,güzellik,NOUN,NN,{'Number': 'Sing'},,
2521,129,16,standartlarını,17.0,29.0,obj,standart,NOUN,NN,"{'Case': 'Acc', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2522,129,17,benimsemelerine,18.0,37.0,xcomp,benimsemeleri,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Dat', 'Mood': 'Ind', 'Number[psor]': 'Plur', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
2523,129,18,yardımcı,10.0,12.0,conj,yardımcı,NOUN,NN,{'Number': 'Sing'},,
2524,129,19,olan,18.0,13.0,cop,ol,AUX,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2525,129,20,güçlü,24.0,4.0,amod,güçlü,ADJ,JJ,{'Number': 'Sing'},,
2526,129,21,ve,22.0,8.0,cc,ve,CCONJ,CCONJ,,,
2527,129,22,pozitif,20.0,12.0,conj,pozitif,ADJ,JJ,{'Number': 'Sing'},,
2528,129,23,bir,24.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2529,129,24,sima,0.0,35.0,root,si,NOUN,NN,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2530,129,25,.,24.0,33.0,punct,.,PUNCT,.,,,
2531,130,1,Sesini,6.0,29.0,obj,ses,NOUN,NN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2532,130,2,gerçek,3.0,4.0,amod,gerçek,NOUN,NN,{'Number': 'Sing'},,
2533,130,3,anlamda,6.0,30.0,obl,anlam,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2534,130,4,tüm,5.0,16.0,det,tüm,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
2535,130,5,dünyaya,6.0,23.0,iobj,dünya,NOUN,NN,"{'Case': 'Dat', 'Number': 'Sing'}",,
2536,130,6,duyurdu,8.0,9.0,ccomp,duy,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
2537,130,7,.,6.0,33.0,punct,.,PUNCT,.,,,
2538,130,8,dedi,0.0,35.0,root,de,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,
2539,130,9,Leive,8.0,27.0,nsubj,Leive,PROPN,PROPN,{'Number': 'Sing'},,"{'Proper': 'True', 'SpaceAfter': 'No'}"
2540,130,10,.,8.0,33.0,punct,.,PUNCT,.,,,
2541,131,1,Resmi,3.0,4.0,amod,resmi,ADJ,JJ,{'Number': 'Sing'},,
2542,131,2,parti,3.0,26.0,nmod:poss,parti,NOUN,NN,{'Number': 'Sing'},,
2543,131,3,fotoğraflarının,4.0,27.0,nsubj,fotoğraf,NOUN,NN,"{'Case': 'Gen', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2544,131,4,yayınlanmasıyla,10.0,2.0,advcl,yayınlanma,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Ins', 'Mood': 'Ind', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Tense': 'Pres', 'VerbForm': 'Vnoun', 'Voice': 'Pass'}",,{'SpaceAfter': 'No'}
2545,131,5,",",4.0,33.0,punct,",",PUNCT,",",,,
2546,131,6,sosyal,7.0,4.0,amod,sosyal,ADJ,JJ,{'Number': 'Sing'},,
2547,131,7,medyada,10.0,30.0,obl,medya,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,
2548,131,8,yorumlar,10.0,27.0,nsubj,yorum,NOUN,NN,"{'Case': 'Nom', 'Number': 'Plur'}",,
2549,131,9,yağmaya,10.0,9.0,ccomp,yağ,VERB,VN,"{'Aspect': 'Perf', 'Case': 'Dat', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Vnoun'}",,
2550,131,10,başladı,0.0,35.0,root,başla,VERB,VB,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,
2551,131,11,-,18.0,33.0,punct,-,PUNCT,-,,,
2552,131,12,ve,18.0,8.0,cc,ve,CCONJ,CCONJ,,,
2553,131,13,bunlar,18.0,27.0,nsubj,bu,PRON,PRD,"{'Case': 'Nom', 'Number': 'Plur', 'Polarity': 'Pos'}",,
2554,131,14,pek,16.0,3.0,advmod,pek,ADV,RB,,,
2555,131,15,de,14.0,3.0,advmod:emph,de,ADV,RB,,,
2556,131,16,iyi,17.0,4.0,amod,iyi,ADJ,JJ,{'Number': 'Sing'},,
2557,131,17,şeyler,18.0,29.0,obj,şey,PRON,PRI,{'Number': 'Plur'},,
2558,131,18,söylemiyordu,10.0,12.0,conj,söyle,VERB,VB,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'Tense': 'Past'}",,{'SpaceAfter': 'No'}
2559,131,19,.,18.0,33.0,punct,.,PUNCT,.,,,
2560,132,1,Yerli,2.0,4.0,amod,yerli,ADJ,JJ,{'Number': 'Sing'},,
2561,132,2,gruplar,4.0,27.0,nsubj,grup,NOUN,NN,"{'Case': 'Nom', 'Number': 'Plur'}",,
2562,132,3,da,2.0,3.0,advmod:emph,da,ADV,RB,,,
2563,132,4,dahil,8.0,2.0,advcl,dahil,NOUN,NN,{'Number': 'Sing'},,
2564,132,5,olmak,4.0,13.0,cop,ol,AUX,VN,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut'}",,
2565,132,6,üzere,4.0,7.0,case,üzere,ADP,IN,,,
2566,132,7,birçok,8.0,16.0,det,birçok,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2567,132,8,insan,14.0,27.0,nsubj,insan,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
2568,132,9,",",8.0,33.0,punct,",",PUNCT,",",,,
2569,132,10,İlk,11.0,4.0,amod,ilk,ADJ,JJ,{'Number': 'Sing'},,
2570,132,11,Milletlerin,12.0,26.0,nmod:poss,Milletler,NOUN,NN,"{'Case': 'Gen', 'Number': 'Plur'}",,
2571,132,12,kültürünü,13.0,29.0,obj,kültür,NOUN,NN,"{'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2572,132,13,bayağılaştırdıklarını,14.0,9.0,ccomp,bayağılaştır,VERB,VN,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Number[psor]': 'Plur', 'Person[psor]': '3', 'Tense': 'Past', 'VerbForm': 'Vnoun', 'Voice': 'Cau'}",,
2573,132,14,söylüyor,0.0,35.0,root,söyle,VERB,VB,"{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,{'SpaceAfter': 'No'}
2574,132,15,.,14.0,33.0,punct,.,PUNCT,.,,,
2575,133,1,Bu,3.0,16.0,det,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
2576,133,2,CRTC,3.0,26.0,nmod:poss,CRTC,PROPN,PROPN,{'Number': 'Sing'},,{'Proper': 'True'}
2577,133,3,oturumlarının,4.0,26.0,nmod:poss,oturum,NOUN,NN,"{'Case': 'Gen', 'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2578,133,4,amacı,13.0,27.0,nsubj,amaç,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,{'SpaceAfter': 'No'}
2579,133,5,",",4.0,33.0,punct,",",PUNCT,",",,,
2580,133,6,endüstri,7.0,26.0,nmod:poss,endüstri,NOUN,NN,{'Number': 'Sing'},,
2581,133,7,paydaşları,10.0,30.0,obl,paydaş,NOUN,NN,"{'Number': 'Plur', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2582,133,8,ve,9.0,8.0,cc,ve,CCONJ,CCONJ,,,
2583,133,9,kamuoyundan,7.0,12.0,conj,kamuoyun,NOUN,NN,"{'Case': 'Abl', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2584,133,10,gelen,11.0,1.0,acl,gel,ADJ,VJ,"{'Number': 'Sing', 'Polarity': 'Pos'}",,
2585,133,11,tepkilere,13.0,23.0,iobj,_,NOUN,NN,"{'Case': 'Dat', 'Number': 'Plur'}",,
2586,133,12,cevap,13.0,29.0,obj,cevap,NOUN,NN,{'Number': 'Sing'},,
2587,133,13,vermek,0.0,35.0,root,ver,VERB,VN,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Vnoun'}",,{'SpaceAfter': 'No'}
2588,133,14,.,13.0,33.0,punct,.,PUNCT,.,,,
2589,134,1,Bu,22.0,27.0,nsubj,bu,DET,DT,"{'Definite': 'Def', 'Polarity': 'Pos'}",,
2590,134,2,yalnızca,4.0,3.0,advmod,yalnızca,ADV,RB,,,{'ToDo': 'ex-adp-child'}
2591,134,3,eğlence,4.0,26.0,nmod:poss,eğlence,NOUN,NN,{'Number': 'Sing'},,
2592,134,4,içerikleri,22.0,30.0,obl,içerik,NOUN,NN,"{'Case': 'Acc', 'Number': 'Plur'}",,
2593,134,5,için,4.0,7.0,case,için,ADP,IN,,,
2594,134,6,değil,4.0,6.0,aux,değil,AUX,NOMP,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'Tense': 'Pres'}",,{'ToDo': 'ex-adp-child'}
2595,134,7,aynı,8.0,4.0,amod,aynı,ADJ,JJ,{'Number': 'Sing'},,
2596,134,8,zamanda,9.0,30.0,obl,zaman,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,{'ToDo': 'ex-adp-child'}
2597,134,9,eğitim,4.0,12.0,conj,eğitim,NOUN,NN,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2598,134,10,",",12.0,33.0,punct,",",PUNCT,",",,,
2599,134,11,bilimsel,12.0,4.0,amod,bilimsel,ADJ,JJ,{'Number': 'Sing'},,
2600,134,12,araştırmalar,9.0,12.0,conj,araştır,NOUN,NN,"{'Number': 'Plur', 'Polarity': 'Pos'}",,
2601,134,13,ve,19.0,8.0,cc,ve,CCONJ,CCONJ,,,
2602,134,14,belki,17.0,3.0,advmod,belki,ADV,RB,,,
2603,134,15,de,14.0,3.0,advmod:emph,de,ADV,RB,,,
2604,134,16,en,17.0,3.0,advmod,en,ADV,RB,,,
2605,134,17,önemlisi,19.0,30.0,obl,_,NOUN,NN,{'Number': 'Sing'},,
2606,134,18,siyasi,19.0,4.0,amod,siyasi,ADJ,JJ,{'Number': 'Sing'},,
2607,134,19,söylemler,9.0,12.0,conj,söylem,NOUN,NN,{'Number': 'Plur'},,
2608,134,20,için,9.0,7.0,case,için,ADP,IN,,,{'ToDo': 'ex-adp-child'}
2609,134,21,de,9.0,3.0,advmod:emph,de,ADV,RB,,,{'ToDo': 'ex-adp-child'}
2610,134,22,geçerli,0.0,35.0,root,geçerli,ADJ,JJ,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2611,134,23,.,22.0,33.0,punct,.,PUNCT,.,,,
2612,135,1,Sonuçta,5.0,30.0,obl,Sonuçta,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
2613,135,2,",",1.0,33.0,punct,",",PUNCT,",",,,
2614,135,3,internet,5.0,27.0,nsubj,internet,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,
2615,135,4,bir,5.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2616,135,5,lüks,0.0,35.0,root,lüks,NOUN,NN,{'Number': 'Sing'},,
2617,135,6,değil,5.0,6.0,aux,değil,AUX,NOMP,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'Tense': 'Pres'}",,{'SpaceAfter': 'No'}
2618,135,7,;,10.0,33.0,punct,;,PUNCT,",",,,
2619,135,8,hayati,10.0,4.0,amod,hayati,ADJ,JJ,{'Number': 'Sing'},,
2620,135,9,bir,10.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
2621,135,10,araç,5.0,12.0,conj,araç,NOUN,NN,{'Number': 'Sing'},,{'SpaceAfter': 'No'}
2622,135,11,.,10.0,33.0,punct,.,PUNCT,.,,,
2623,136,1,Enkaz,9.0,27.0,nsubj,enkaz,NOUN,NN,"{'Case': 'Nom', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
2624,136,2,",",1.0,33.0,punct,",",PUNCT,",",,,
2625,136,3,Dünya,4.0,26.0,nmod:poss,dünya,NOUN,NN,{'Number': 'Sing'},,
2626,136,4,ekvatorunun,5.0,26.0,nmod:poss,ekvator,NOUN,NN,"{'Case': 'Gen', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2627,136,5,etrafında,9.0,30.0,obl,etraf,NOUN,NN,"{'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",,
2628,136,6,bir,8.0,16.0,det,bir,DET,DT,"{'Definite': 'Ind', 'Polarity': 'Pos'}",,
